"Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species","SL"
5.1,3.5,1.4,0.2,"setosa","Medio"
4.9,3,1.4,0.2,"setosa","Pequeno"
4.7,3.2,1.3,0.2,"setosa","Pequeno"
4.6,3.1,1.5,0.2,"setosa","Pequeno"
5,3.6,1.4,0.2,"setosa","Pequeno"
5.4,3.9,1.7,0.4,"setosa","Medio"
4.6,3.4,1.4,0.3,"setosa","Pequeno"
5,3.4,1.5,0.2,"setosa","Pequeno"
4.4,2.9,1.4,0.2,"setosa","Pequeno"
4.9,3.1,1.5,0.1,"setosa","Pequeno"
5.4,3.7,1.5,0.2,"setosa","Medio"
4.8,3.4,1.6,0.2,"setosa","Pequeno"
4.8,3,1.4,0.1,"setosa","Pequeno"
4.3,3,1.1,0.1,"setosa","Pequeno"
5.8,4,1.2,0.2,"setosa","Medio"
5.7,4.4,1.5,0.4,"setosa","Medio"
5.4,3.9,1.3,0.4,"setosa","Medio"
5.1,3.5,1.4,0.3,"setosa","Medio"
5.7,3.8,1.7,0.3,"setosa","Medio"
5.1,3.8,1.5,0.3,"setosa","Medio"
5.4,3.4,1.7,0.2,"setosa","Medio"
5.1,3.7,1.5,0.4,"setosa","Medio"
4.6,3.6,1,0.2,"setosa","Pequeno"
5.1,3.3,1.7,0.5,"setosa","Medio"
4.8,3.4,1.9,0.2,"setosa","Pequeno"
5,3,1.6,0.2,"setosa","Pequeno"
5,3.4,1.6,0.4,"setosa","Pequeno"
5.2,3.5,1.5,0.2,"setosa","Medio"
5.2,3.4,1.4,0.2,"setosa","Medio"
4.7,3.2,1.6,0.2,"setosa","Pequeno"
4.8,3.1,1.6,0.2,"setosa","Pequeno"
5.4,3.4,1.5,0.4,"setosa","Medio"
5.2,4.1,1.5,0.1,"setosa","Medio"
5.5,4.2,1.4,0.2,"setosa","Medio"
4.9,3.1,1.5,0.2,"setosa","Pequeno"
5,3.2,1.2,0.2,"setosa","Pequeno"
5.5,3.5,1.3,0.2,"setosa","Medio"
4.9,3.6,1.4,0.1,"setosa","Pequeno"
4.4,3,1.3,0.2,"setosa","Pequeno"
5.1,3.4,1.5,0.2,"setosa","Medio"
5,3.5,1.3,0.3,"setosa","Pequeno"
4.5,2.3,1.3,0.3,"setosa","Pequeno"
4.4,3.2,1.3,0.2,"setosa","Pequeno"
5,3.5,1.6,0.6,"setosa","Pequeno"
5.1,3.8,1.9,0.4,"setosa","Medio"
4.8,3,1.4,0.3,"setosa","Pequeno"
5.1,3.8,1.6,0.2,"setosa","Medio"
4.6,3.2,1.4,0.2,"setosa","Pequeno"
5.3,3.7,1.5,0.2,"setosa","Medio"
5,3.3,1.4,0.2,"setosa","Pequeno"
7,3.2,4.7,1.4,"versicolor","Grande"
6.4,3.2,4.5,1.5,"versicolor","Grande"
6.9,3.1,4.9,1.5,"versicolor","Grande"
5.5,2.3,4,1.3,"versicolor","Medio"
6.5,2.8,4.6,1.5,"versicolor","Grande"
5.7,2.8,4.5,1.3,"versicolor","Medio"
6.3,3.3,4.7,1.6,"versicolor","Medio"
4.9,2.4,3.3,1,"versicolor","Pequeno"
6.6,2.9,4.6,1.3,"versicolor","Grande"
5.2,2.7,3.9,1.4,"versicolor","Medio"
5,2,3.5,1,"versicolor","Pequeno"
5.9,3,4.2,1.5,"versicolor","Medio"
6,2.2,4,1,"versicolor","Medio"
6.1,2.9,4.7,1.4,"versicolor","Medio"
5.6,2.9,3.6,1.3,"versicolor","Medio"
6.7,3.1,4.4,1.4,"versicolor","Grande"
5.6,3,4.5,1.5,"versicolor","Medio"
5.8,2.7,4.1,1,"versicolor","Medio"
6.2,2.2,4.5,1.5,"versicolor","Medio"
5.6,2.5,3.9,1.1,"versicolor","Medio"
5.9,3.2,4.8,1.8,"versicolor","Medio"
6.1,2.8,4,1.3,"versicolor","Medio"
6.3,2.5,4.9,1.5,"versicolor","Medio"
6.1,2.8,4.7,1.2,"versicolor","Medio"
6.4,2.9,4.3,1.3,"versicolor","Grande"
6.6,3,4.4,1.4,"versicolor","Grande"
6.8,2.8,4.8,1.4,"versicolor","Grande"
6.7,3,5,1.7,"versicolor","Grande"
6,2.9,4.5,1.5,"versicolor","Medio"
5.7,2.6,3.5,1,"versicolor","Medio"
5.5,2.4,3.8,1.1,"versicolor","Medio"
5.5,2.4,3.7,1,"versicolor","Medio"
5.8,2.7,3.9,1.2,"versicolor","Medio"
6,2.7,5.1,1.6,"versicolor","Medio"
5.4,3,4.5,1.5,"versicolor","Medio"
6,3.4,4.5,1.6,"versicolor","Medio"
6.7,3.1,4.7,1.5,"versicolor","Grande"
6.3,2.3,4.4,1.3,"versicolor","Medio"
5.6,3,4.1,1.3,"versicolor","Medio"
5.5,2.5,4,1.3,"versicolor","Medio"
5.5,2.6,4.4,1.2,"versicolor","Medio"
6.1,3,4.6,1.4,"versicolor","Medio"
5.8,2.6,4,1.2,"versicolor","Medio"
5,2.3,3.3,1,"versicolor","Pequeno"
5.6,2.7,4.2,1.3,"versicolor","Medio"
5.7,3,4.2,1.2,"versicolor","Medio"
5.7,2.9,4.2,1.3,"versicolor","Medio"
6.2,2.9,4.3,1.3,"versicolor","Medio"
5.1,2.5,3,1.1,"versicolor","Medio"
5.7,2.8,4.1,1.3,"versicolor","Medio"
6.3,3.3,6,2.5,"virginica","Medio"
5.8,2.7,5.1,1.9,"virginica","Medio"
7.1,3,5.9,2.1,"virginica","Grande"
6.3,2.9,5.6,1.8,"virginica","Medio"
6.5,3,5.8,2.2,"virginica","Grande"
7.6,3,6.6,2.1,"virginica","Grande"
4.9,2.5,4.5,1.7,"virginica","Pequeno"
7.3,2.9,6.3,1.8,"virginica","Grande"
6.7,2.5,5.8,1.8,"virginica","Grande"
7.2,3.6,6.1,2.5,"virginica","Grande"
6.5,3.2,5.1,2,"virginica","Grande"
6.4,2.7,5.3,1.9,"virginica","Grande"
6.8,3,5.5,2.1,"virginica","Grande"
5.7,2.5,5,2,"virginica","Medio"
5.8,2.8,5.1,2.4,"virginica","Medio"
6.4,3.2,5.3,2.3,"virginica","Grande"
6.5,3,5.5,1.8,"virginica","Grande"
