"especie","sexo","FL","RW","CL","CW","BD","num"
"azul","M",8.1,6.7,16.1,19,7,1
"azul","M",8.8,7.7,18.1,20.8,7.4,2
"azul","M",9.2,7.8,19,22.4,7.7,3
"azul","M",9.6,7.9,20.1,23.1,8.2,4
"azul","M",10.8,9,23,26.5,9.8,5
"azul","M",11.6,9.1,24.5,28.4,10.4,6
"azul","M",11.8,10.5,25.2,29.3,10.3,7
"azul","M",12.3,11,26.8,31.5,11.4,8
"azul","M",12.6,10,27.7,31.7,11.4,9
"azul","M",12.8,10.9,27.4,31.5,11,10
"azul","M",12.9,11,26.8,30.9,11.4,11
"azul","M",13.1,10.6,28.2,32.3,11,12
"azul","M",13.9,11.1,29.2,33.3,12.1,13
"azul","M",15,10.9,31.4,36.4,13.2,14
"azul","M",15,11.5,32.4,37,13.4,15
"azul","M",15,11.9,32.5,37.2,13.6,16
"azul","M",15.2,12.1,32.3,36.7,13.6,17
"azul","M",15.4,11.8,33,37.5,13.6,18
"azul","M",15.7,12.6,35.8,40.3,14.5,19
"azul","M",15.9,12.7,34,38.9,14.2,20
"azul","M",16.1,12.8,34.9,40.7,15.7,21
"azul","M",16.2,13.3,36,41.7,15.4,22
"azul","M",16.3,12.7,35.6,40.9,14.9,23
"azul","M",16.6,13.5,38.1,43.4,14.9,24
"azul","M",16.8,12.8,36.2,41.8,14.9,25
"azul","M",16.9,13.2,37.3,42.7,15.6,26
"azul","M",17.1,12.6,36.4,42,15.1,27
"azul","M",18,13.7,39.2,44.4,16.2,28
"azul","M",18.8,15.8,42.1,49,17.8,29
"azul","M",19.3,13.5,41.6,47.4,17.8,30
"azul","M",19.3,13.8,40.9,46.5,16.8,31
"azul","M",19.7,15.3,41.9,48.5,17.8,32
"azul","M",19.8,14.2,43.2,49.7,18.6,33
"azul","M",21.3,15.7,47.1,54.6,20,34
"azul","F",7.2,6.5,14.7,17.1,6.1,35
"azul","F",9,8.5,19.3,22.7,7.7,36
"azul","F",9.1,8.1,18.5,21.6,7.7,37
"azul","F",NA,8.2,19.2,22.2,NA,38
"azul","F",9.8,8.9,20.4,23.9,8.8,39
"azul","F",10.1,9.3,20.9,24.4,8.4,40
"azul","F",10.3,9.5,21.3,24.7,8.9,41
"azul","F",10.4,9.7,21.7,25.4,8.3,42
"azul","F",10.8,9.5,22.5,26.3,9.1,43
"azul","F",11,9.8,22.5,25.7,8.2,44
"azul","F",11.2,10,22.8,26.9,9.4,45
"azul","F",11.5,11,24.7,29.2,10.1,46
"azul","F",11.6,11,24.6,28.5,10.4,47
"azul","F",11.6,11.4,23.7,27.7,10,48
"azul","F",11.7,10.6,24.9,28.5,10.4,49
"azul","F",11.9,11.4,26,30.1,10.9,50
"azul","F",12,10.7,24.6,28.9,10.5,51
"azul","F",12,11.1,25.4,29.2,11,52
"azul","F",12.6,12.2,26.1,31.6,11.2,53
"azul","F",12.8,11.7,27.1,31.2,11.9,54
"azul","F",13.1,11.5,27.6,32.6,11.1,55
"azul","F",13.2,12.2,27.9,32.1,11.5,56
"azul","F",13.4,11.8,28.4,32.7,11.7,57
"azul","F",13.7,12.5,28.6,33.8,11.9,58
"azul","F",13.9,13,30,34.9,13.1,59
"azul","F",14.7,12.5,30.1,34.7,12.5,60
"azul","F",14.9,13.2,30.1,35.6,12,61
"azul","F",15,14.2,32.8,37.4,14,62
"azul","F",15.1,13.3,31.8,36.3,13.5,63
"azul","F",15.1,13.5,31.9,37,13.8,64
"azul","F",15.1,13.8,31.7,36.6,13,65
"azul","F",15.2,14.3,33.9,38.5,14.7,66
"azul","F",15.3,14.2,32.6,38.3,13.8,67
"azul","F",15.5,13.8,33.4,38.7,14.7,68
"azul","F",15.6,13.9,32.8,37.9,13.4,69
"azul","F",15.6,14.7,33.9,39.5,14.3,70
"azul","F",15.8,15,34.5,40.3,15.3,71
"azul","F",16.2,15.2,34.5,40.1,13.9,72
"azul","F",16.4,14,34.2,39.8,15.2,73
"azul","F",16.7,16.1,36.6,41.9,15.4,74
"azul","F",17.4,16.9,38.2,44.1,16.6,75
"azul","F",17.5,16.7,38.6,44.5,17,76
"azul","F",19.2,16.5,40.9,47.9,18.1,77
"laranja","M",9.1,6.9,16.7,18.6,7.4,78
"laranja","M",10.7,8.6,20.7,22.7,9.2,79
"laranja","M",11.4,9,22.7,24.8,10.1,80
"laranja","M",12.5,9.4,24.2,27,11.2,81
"laranja","M",12.7,10.4,26,28.8,12.1,82
"laranja","M",13.2,11,27.1,30.4,12.2,83
"laranja","M",13.4,10.1,26.6,29.6,12,84
"laranja","M",14,11.5,29.2,32.2,13.1,85
"laranja","M",14.1,10.4,28.9,31.8,13.5,86
"laranja","M",14.1,10.7,28.7,31.9,13.3,87
"laranja","M",14.2,10.6,28.7,31.7,12.9,88
"laranja","M",14.2,10.7,27.8,30.9,12.7,89
"laranja","M",14.2,11.3,29.2,32.2,13.5,90
"laranja","M",14.6,11.3,29.9,33.5,12.8,91
"laranja","M",15.4,11.1,30.2,33.6,13.5,92
"laranja","M",15.7,12.2,31.7,34.2,14.2,93
"laranja","M",16.2,11.8,32.3,35.3,14.7,94
"laranja","M",16.3,11.6,31.6,34.2,14.5,95
"laranja","M",17.1,12.6,35,38.9,15.7,96
"laranja","M",17.5,12,34.4,37.3,15.3,97
"laranja","M",17.8,12.5,36,39.8,16.7,98
"laranja","M",17.9,12.9,36.9,40.9,16.5,99
"laranja","M",18,13.4,36.7,41.3,17.1,100
"laranja","M",18.4,13.4,37.9,42.2,17.7,101
"laranja","M",18.6,13.4,37.8,41.9,17.3,102
"laranja","M",18.6,13.5,36.9,40.2,17,103
"laranja","M",18.8,13.4,37.2,41.1,17.5,104
"laranja","M",19.4,14.1,39.1,43.2,17.8,105
"laranja","M",19.4,14.4,39.8,44.3,17.9,106
"laranja","M",20.6,14.4,42.8,46.5,19.6,107
"laranja","M",21,15,42.9,47.2,19.4,108
"laranja","M",21.5,15.5,45.5,49.7,20.9,109
"laranja","M",21.6,15.4,45.7,49.7,20.6,110
"laranja","M",23,16.8,47.2,52.1,21.5,111
"laranja","M",23.1,15.7,47.6,52.8,21.6,112
"laranja","F",10.7,9.7,21.4,24,9.8,113
"laranja","F",11.4,9.2,21.7,24.1,9.7,114
"laranja","F",12.5,10,24.1,27,10.9,115
"laranja","F",12.6,11.5,25,28.1,11.5,116
"laranja","F",14,11.9,27,31.4,12.6,117
"laranja","F",14,12.8,28.8,32.4,12.7,118
"laranja","F",14.3,12.2,28.1,31.8,12.5,119
"laranja","F",14.7,13.2,29.6,33.4,12.9,120
"laranja","F",14.9,13,30,33.7,13.3,121
"laranja","F",15,12.3,30.1,33.3,14,122
"laranja","F",15.6,13.5,31.2,35.1,14.1,123
"laranja","F",15.6,14,31.6,35.3,13.8,124
"laranja","F",15.6,14.1,31,34.5,13.8,125
"laranja","F",15.7,13.6,31,34.8,13.8,126
"laranja","F",16.1,13.7,31.4,36.1,13.9,127
"laranja","F",16.2,14,31.6,35.6,13.7,128
"laranja","F",16.7,14.3,32.3,37,14.7,129
"laranja","F",17.1,14.5,33.1,37.2,14.6,130
"laranja","F",17.5,14.4,34.5,39,16,131
"laranja","F",17.5,14.7,33.3,37.6,14.6,132
"laranja","F",17.6,14,34,38.6,15.5,133
"laranja","F",18,14.9,34.7,39.5,15.7,134
"laranja","F",18,16.3,37.9,43,17.2,135
"laranja","F",18.3,15.7,35.1,40.5,16.1,136
"laranja","F",18.4,15.5,35.6,40,15.9,137
"laranja","F",18.4,15.7,36.5,41.6,16.4,138
"laranja","F",18.5,14.6,37,42,16.6,139
"laranja","F",18.6,14.5,34.7,39.4,15,140
"laranja","F",18.8,15.2,35.8,40.5,16.6,141
"laranja","F",19.1,16,37.8,42.3,16.8,142
"laranja","F",19.1,16.3,37.9,42.6,17.2,143
"laranja","F",19.7,16.7,39.9,43.6,18.2,144
"laranja","F",19.9,16.6,39.4,43.9,17.9,145
"laranja","F",20,16.7,40.4,45.1,17.7,146
"laranja","F",20.1,17.2,39.8,44.1,18.6,147
"laranja","F",NA,16,39.4,44.1,NA,148
"laranja","F",20.5,17.5,40,45.5,19.2,149
"laranja","F",20.9,16.5,39.9,44.7,17.5,150
"laranja","F",21.3,18.4,43.8,48.4,20,151
"laranja","F",21.4,18,41.2,46.2,18.7,152
"laranja","F",21.7,17.1,41.7,47.2,19.6,153
"laranja","F",21.9,17.2,42.6,47.4,19.5,154
"laranja","F",22.5,17.2,43,48.7,19.8,155
"laranja","F",23.1,20.2,46.2,52.5,21.1,156
